5,8,5,5,9,1,1,2,1,1,2,0,2,2,2,0,2,0,2,2,2,1,2,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
5,5,5,5,7,5,6,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,2,0,3,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,6,1,1,6,1,1,1,1,1,1,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,
5,5,5,7,5,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,2,1,1,1,1,0,2,1,1,1,6,2,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,
5,7,5,7,5,8,0,2,2,2,0,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,5,5,5,0,1,1,1,6,1,1,1,1,2,1,2,2,2,1,2,1,1,1,1,6,2,1,1,1,1,1,1,1,1,6,1,1,1,6,1,1,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,,,,,,,,,,,,,,,,,
5,5,7,5,5,1,2,1,2,2,1,1,1,2,2,0,0,2,2,2,2,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,
5,9,5,5,2,1,2,1,1,6,6,6,1,1,1,2,1,2,1,1,2,2,2,2,1,1,1,1,1,2,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,5,9,1,1,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,1,1,1,1,,,,,,,,,,,,,,
5,7,5,9,2,1,1,0,2,0,1,2,2,1,2,1,2,1,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
5,7,5,5,5,1,1,2,2,2,1,1,1,2,1,1,1,6,2,2,0,2,6,6,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,5,5,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,0,2,1,2,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,7,5,5,1,1,1,1,1,1,2,1,1,6,6,2,2,1,2,2,2,2,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
5,8,5,5,1,1,6,6,1,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
5,5,9,5,1,1,2,2,2,2,0,0,2,2,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
5,7,5,5,5,2,2,1,0,0,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,6,1,1,1,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5,5,7,5,9,1,1,2,1,1,2,1,1,2,2,1,6,1,1,1,2,1,2,6,1,1,1,1,2,1,1,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,
7,5,7,5,7,5,5,1,1,1,1,1,2,1,1,1,6,1,1,6,1,1,2,2,1,1,2,0,2,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
9,7,5,5,5,9,1,1,6,1,1,2,2,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
5,7,5,5,9,2,2,2,2,0,2,2,0,2,2,2,2,2,1,2,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,6,1,6,6,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
5,7,5,8,5,8,1,1,2,2,2,2,1,1,2,1,6,6,2,2,0,2,2,2,2,2,2,2,1,6,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,5,5,5,7,1,1,6,6,2,1,2,0,2,2,2,2,2,0,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
5,5,5,1,1,2,2,2,1,1,1,1,6,6,2,2,0,2,2,2,0,2,2,2,2,2,1,6,1,6,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,5,6,6,6,0,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,5,8,5,1,1,6,1,1,1,1,1,1,1,2,2,1,2,1,2,2,0,6,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,1,2,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,
5,5,5,1,1,1,1,6,6,1,6,1,1,1,1,2,2,2,0,2,2,2,2,2,2,2,0,2,2,2,2,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,5,6,6,6,2,2,1,2,6,2,2,2,2,0,1,1,1,2,2,2,2,0,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
