7,5,7,5,7,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
5,8,5,1,1,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,5,5,8,2,2,1,2,1,2,2,2,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,,,,,,,,,,,,,,,,
5,5,1,1,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
5,7,5,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
7,5,5,7,5,5,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,6,2,2,2,2,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
5,5,1,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,
5,7,5,1,1,2,2,2,2,1,6,1,6,2,2,2,2,2,2,2,2,2,2,1,6,1,6,1,1,1,1,1,1,6,1,6,6,1,1,1,6,1,1,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
5,5,5,7,5,1,2,2,2,2,2,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
5,5,5,7,5,2,2,2,2,2,2,1,1,2,3,2,1,1,2,1,2,2,2,2,1,1,1,1,1,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
